124.700;LEFT;06:41:45;06:41:49	;3.45
124.700;LEFT;06:41:52;06:41:56	;3.50
124.700;LEFT;06:41:59;06:42:01	;2.28
124.700;LEFT;06:42:28;06:42:30	;2.38
124.700;LEFT;06:42:37;06:42:39	;2.31
124.700;LEFT;06:42:42;06:42:44	;1.87
124.700;LEFT;06:43:19;06:43:23	;3.58
124.700;LEFT;06:43:27;06:43:29	;2.00
124.700;LEFT;06:43:30;06:43:35	;4.94
124.700;LEFT;06:43:38;06:43:42	;4.03
124.700;LEFT;06:43:46;06:43:49	;3.30
124.700;LEFT;06:43:52;06:43:54	;2.32
124.700;LEFT;06:43:56;06:43:59	;3.44
124.700;LEFT;06:44:03;06:44:07	;4.22
124.700;LEFT;06:44:13;06:44:16	;3.02
124.700;LEFT;06:44:23;06:44:25	;2.08
124.700;LEFT;06:44:29;06:44:32	;3.04
124.700;LEFT;06:44:41;06:44:46	;4.67
124.700;LEFT;06:44:51;06:44:53	;2.70
124.700;LEFT;06:45:03;06:45:07	;3.85
124.700;LEFT;06:45:10;06:45:13	;2.60
124.700;LEFT;06:45:17;06:45:20	;2.82
124.700;LEFT;06:45:22;06:45:30	;7.83
124.700;LEFT;06:45:35;06:45:39	;4.15
124.700;LEFT;06:45:40;06:45:45	;5.30
124.700;LEFT;06:45:49;06:45:52	;2.30
124.700;LEFT;06:45:55;06:45:58	;2.40
124.700;LEFT;06:46:01;06:46:04	;2.54
124.700;LEFT;06:46:08;06:46:10	;1.68
124.700;LEFT;06:46:13;06:46:15	;2.16
124.700;LEFT;06:46:26;06:46:29	;3.26
124.700;LEFT;06:46:38;06:46:43	;5.14
124.700;LEFT;06:46:46;06:46:50	;3.82
124.700;LEFT;06:46:54;06:46:56	;2.85
124.700;LEFT;06:47:03;06:47:06	;3.33
124.700;LEFT;06:47:14;06:47:17	;2.78
124.700;LEFT;06:47:35;06:47:37	;1.87
124.700;LEFT;06:47:41;06:47:43	;2.38
124.700;LEFT;06:47:47;06:47:49	;2.42
124.700;LEFT;06:47:51;06:47:56	;4.38
124.700;LEFT;06:47:59;06:48:03	;3.41
124.700;LEFT;06:48:08;06:48:11	;3.66
124.700;LEFT;06:48:16;06:48:23	;6.99
124.700;LEFT;06:48:26;06:48:29	;2.94
124.700;LEFT;06:48:33;06:48:37	;4.02
124.700;LEFT;06:48:41;06:48:42	;1.48
124.700;LEFT;06:48:46;06:48:53	;6.89
124.700;LEFT;06:48:56;06:49:01	;4.94
124.700;LEFT;06:49:05;06:49:09	;4.50
124.700;LEFT;06:49:10;06:49:14	;4.08
124.700;LEFT;06:49:17;06:49:20	;2.77
124.700;LEFT;06:49:23;06:49:25	;2.19
124.700;LEFT;06:49:26;06:49:30	;4.10
124.700;LEFT;06:49:33;06:49:36	;2.34
124.700;LEFT;06:49:48;06:49:50	;2.16
124.700;LEFT;06:49:56;06:49:59	;2.73
124.700;LEFT;06:50:51;06:50:57	;6.36
124.700;LEFT;06:51:04;06:51:09	;5.42
124.700;LEFT;06:51:10;06:51:14	;3.74
124.700;LEFT;06:51:18;06:51:22	;3.76
124.700;LEFT;06:51:25;06:51:27	;2.03
124.700;LEFT;06:51:30;06:51:31	;1.34
124.700;LEFT;06:51:39;06:51:41	;1.87
124.700;LEFT;06:51:45;06:51:47	;2.30
124.700;LEFT;06:51:55;06:52:00	;5.06
124.700;LEFT;06:52:03;06:52:08	;4.40
124.700;LEFT;06:52:10;06:52:12	;1.68
124.700;LEFT;06:52:15;06:52:17	;1.66
124.700;LEFT;06:52:27;06:52:30	;3.06
124.700;LEFT;06:52:33;06:52:35	;2.42
124.700;LEFT;06:52:40;06:52:43	;3.35
124.700;LEFT;06:52:45;06:52:48	;2.59
124.700;LEFT;06:52:59;06:53:03	;4.12
124.700;LEFT;06:53:11;06:53:15	;3.95
124.700;LEFT;06:53:19;06:53:22	;3.16
124.700;LEFT;06:53:26;06:53:28	;2.06
124.700;LEFT;06:53:31;06:53:33	;1.89
124.700;LEFT;06:53:36;06:53:39	;2.07
124.700;LEFT;06:53:40;06:53:43	;3.51
124.700;LEFT;06:53:46;06:53:54	;7.86
124.700;LEFT;06:53:57;06:54:00	;3.36
124.700;LEFT;06:54:04;06:54:07	;3.10
124.700;LEFT;06:54:12;06:54:14	;2.43
124.700;LEFT;06:54:20;06:54:23	;3.02
124.700;LEFT;06:54:26;06:54:29	;2.76
124.700;LEFT;06:54:33;06:54:35	;2.74
124.700;LEFT;06:54:38;06:54:39	;1.33
124.700;LEFT;06:54:42;06:54:46	;3.10
124.700;LEFT;06:54:47;06:54:52	;5.49
124.700;LEFT;06:54:58;06:55:05	;6.94
124.700;LEFT;06:55:09;06:55:12	;3.16
124.700;LEFT;06:55:38;06:55:44	;5.53
124.700;LEFT;06:55:49;06:55:54	;4.45
124.700;LEFT;06:56:05;06:56:07	;2.28
124.700;LEFT;06:56:14;06:56:16	;1.74
124.700;LEFT;06:56:19;06:56:22	;3.15
124.700;LEFT;06:57:20;06:57:22	;1.66
124.700;LEFT;06:58:03;06:58:05	;1.98
124.700;LEFT;06:58:40;06:58:42	;2.47
124.700;LEFT;06:59:08;06:59:12	;4.55
124.700;LEFT;06:59:39;06:59:43	;4.22
124.700;LEFT;06:59:48;06:59:52	;3.80
124.700;LEFT;06:59:55;06:59:58	;3.06
124.700;LEFT;07:00:08;07:00:11	;2.15
124.700;LEFT;07:00:26;07:00:30	;3.46
124.700;LEFT;07:00:39;07:00:43	;3.60
124.700;LEFT;07:00:46;07:00:51	;4.50
124.700;LEFT;07:00:51;07:00:55	;3.86
124.700;LEFT;07:01:00;07:01:04	;3.84
124.700;LEFT;07:01:06;07:01:10	;3.96
124.700;RIGHT;05:59:37;05:59:40	;2.81
124.700;RIGHT;06:00:13;06:00:15	;2.64
124.700;RIGHT;06:00:19;06:00:21	;1.58
124.700;RIGHT;06:00:23;06:00:26	;3.18
124.700;RIGHT;06:00:34;06:00:36	;2.42
124.700;RIGHT;06:00:41;06:00:44	;3.46
124.700;RIGHT;06:01:08;06:01:13	;4.33
124.700;RIGHT;06:01:20;06:01:24	;3.49
124.700;RIGHT;06:01:53;06:01:56	;3.84
124.700;RIGHT;06:02:27;06:02:30	;2.37
124.700;RIGHT;06:02:43;06:02:47	;3.97
124.700;RIGHT;06:03:28;06:03:30	;2.50
124.700;RIGHT;06:04:09;06:04:13	;3.54
124.700;RIGHT;06:04:19;06:04:22	;3.14
124.700;RIGHT;06:04:26;06:04:29	;2.37
124.700;RIGHT;06:04:34;06:04:38	;3.34
124.700;RIGHT;06:04:45;06:04:48	;2.49
124.700;RIGHT;06:04:50;06:04:52	;2.49
124.700;RIGHT;06:04:55;06:04:58	;2.30
124.700;RIGHT;06:05:03;06:05:06	;3.59
124.700;RIGHT;06:05:40;06:05:43	;3.08
124.700;RIGHT;06:05:49;06:05:52	;3.02
124.700;RIGHT;06:05:56;06:05:59	;3.19
124.700;RIGHT;06:06:19;06:06:23	;3.68
124.700;RIGHT;06:06:33;06:06:37	;4.30
124.700;RIGHT;06:06:50;06:06:51	;1.49
124.700;RIGHT;06:06:52;06:06:55	;3.56
124.700;RIGHT;06:07:00;06:07:04	;3.82
124.700;RIGHT;06:07:06;06:07:09	;3.02
124.700;RIGHT;06:07:47;06:07:49	;2.34
124.700;RIGHT;06:08:16;06:08:18	;2.27
124.700;RIGHT;06:08:44;06:08:47	;2.94
124.700;RIGHT;06:08:54;06:08:58	;3.89
124.700;RIGHT;06:09:02;06:09:05	;2.82
124.700;RIGHT;06:09:09;06:09:11	;2.42
124.700;RIGHT;06:09:15;06:09:18	;2.41
124.700;RIGHT;06:09:23;06:09:26	;2.58
124.700;RIGHT;06:09:28;06:09:30	;2.18
124.700;RIGHT;06:09:39;06:09:40	;0.58
124.700;RIGHT;06:09:41;06:09:44	;3.45
124.700;RIGHT;06:09:55;06:09:58	;3.52
124.700;RIGHT;06:10:01;06:10:02	;0.86
124.700;RIGHT;06:10:04;06:10:06	;2.81
124.700;RIGHT;06:10:16;06:10:20	;3.98
124.700;RIGHT;06:10:24;06:10:25	;1.57
124.700;RIGHT;06:10:29;06:10:33	;3.56
124.700;RIGHT;06:10:38;06:10:42	;3.97
124.700;RIGHT;06:10:47;06:10:50	;2.54
124.700;RIGHT;06:11:06;06:11:10	;3.47
124.700;RIGHT;06:11:18;06:11:20	;2.12
124.700;RIGHT;06:11:27;06:11:29	;2.70
124.700;RIGHT;06:11:32;06:11:35	;2.97
124.700;RIGHT;06:11:43;06:11:46	;2.98
124.700;RIGHT;06:11:50;06:11:54	;3.10
124.700;RIGHT;06:12:04;06:12:07	;3.46
124.700;RIGHT;06:12:15;06:12:16	;0.86
124.700;RIGHT;06:12:18;06:12:21	;2.52
124.700;RIGHT;06:12:25;06:12:28	;2.88
124.700;RIGHT;06:12:34;06:12:37	;3.02
124.700;RIGHT;06:12:43;06:12:46	;3.60
124.700;RIGHT;06:12:54;06:12:57	;2.73
124.700;RIGHT;06:13:02;06:13:05	;3.29
124.700;RIGHT;06:13:06;06:13:07	;1.15
124.700;RIGHT;06:13:10;06:13:14	;3.20
124.700;RIGHT;06:13:17;06:13:19	;2.57
124.700;RIGHT;06:13:22;06:13:24	;2.14
124.700;RIGHT;06:13:26;06:13:30	;3.84
124.700;RIGHT;06:13:33;06:13:35	;2.82
124.700;RIGHT;06:13:45;06:13:48	;2.78
124.700;RIGHT;06:13:53;06:13:58	;4.69
124.700;RIGHT;06:14:02;06:14:04	;2.14
124.700;RIGHT;06:14:07;06:14:10	;2.60
124.700;RIGHT;06:14:13;06:14:16	;3.84
124.700;RIGHT;06:14:24;06:14:27	;3.24
124.700;RIGHT;06:14:32;06:14:35	;3.17
124.700;RIGHT;06:14:38;06:14:42	;3.22
124.700;RIGHT;06:14:42;06:14:44	;2.30
124.700;RIGHT;06:14:48;06:14:51	;2.82
124.700;RIGHT;06:15:06;06:15:09	;2.84
124.700;RIGHT;06:15:13;06:15:17	;4.49
124.700;RIGHT;06:15:20;06:15:23	;3.20
124.700;RIGHT;06:15:28;06:15:30	;2.38
124.700;RIGHT;06:15:40;06:15:44	;3.24
124.700;RIGHT;06:15:49;06:15:52	;2.81
124.700;RIGHT;06:15:55;06:15:58	;3.13
124.700;RIGHT;06:16:01;06:16:03	;1.36
124.700;RIGHT;06:16:08;06:16:11	;2.30
124.700;RIGHT;06:16:16;06:16:19	;3.05
124.700;RIGHT;06:16:48;06:16:52	;3.34
124.700;RIGHT;06:16:55;06:16:57	;2.09
124.700;RIGHT;06:17:06;06:17:09	;3.18
124.700;RIGHT;06:17:14;06:17:16	;2.16
124.700;RIGHT;06:17:18;06:17:21	;3.30
124.700;RIGHT;06:17:24;06:17:29	;4.90
124.700;RIGHT;06:17:35;06:17:38	;2.78
124.700;RIGHT;06:17:41;06:17:41	;0.50
124.700;RIGHT;06:18:14;06:18:16	;2.24
124.700;RIGHT;06:18:28;06:18:32	;3.33
124.700;RIGHT;06:19:25;06:19:29	;3.52
124.700;RIGHT;06:19:33;06:19:35	;2.08
124.700;RIGHT;06:19:39;06:19:43	;4.06
124.700;RIGHT;06:19:50;06:19:53	;3.28
124.700;RIGHT;06:21:04;06:21:06	;2.32
124.700;RIGHT;06:21:15;06:21:20	;5.34
124.700;RIGHT;06:21:32;06:21:35	;3.18
124.700;RIGHT;06:22:15;06:22:20	;4.92
124.700;RIGHT;06:22:31;06:22:35	;3.45
124.700;RIGHT;06:22:46;06:22:50	;4.46
124.700;RIGHT;06:22:58;06:23:01	;2.57
124.700;RIGHT;06:23:11;06:23:15	;3.73
124.700;RIGHT;06:23:38;06:23:41	;3.57
124.700;RIGHT;06:24:06;06:24:10	;4.03
124.700;RIGHT;06:24:17;06:24:21	;3.64
124.700;RIGHT;06:24:24;06:24:28	;3.81
124.700;RIGHT;06:24:40;06:24:44	;3.50
124.700;RIGHT;06:24:59;06:25:03	;3.66
124.700;RIGHT;06:25:09;06:25:10	;1.02
124.700;RIGHT;06:25:12;06:25:14	;2.27
124.700;RIGHT;06:25:17;06:25:18	;0.78
124.700;RIGHT;06:25:21;06:25:25	;3.53
124.700;RIGHT;06:25:28;06:25:31	;3.25
124.700;RIGHT;06:25:36;06:25:40	;3.62
124.700;RIGHT;06:25:46;06:25:49	;2.80
124.700;RIGHT;06:26:39;06:26:42	;3.53
124.700;RIGHT;06:26:48;06:26:51	;3.09
124.700;RIGHT;06:27:01;06:27:04	;3.02
124.700;RIGHT;06:27:17;06:27:18	;0.65
124.700;RIGHT;06:27:20;06:27:22	;1.24
124.700;RIGHT;06:27:25;06:27:27	;1.40
124.700;RIGHT;06:27:31;06:27:31	;0.77
124.700;RIGHT;06:27:32;06:27:34	;1.41
124.700;RIGHT;06:27:40;06:27:41	;1.48
124.700;RIGHT;06:27:48;06:27:51	;3.36
124.700;RIGHT;06:28:03;06:28:04	;1.66
124.700;RIGHT;06:28:08;06:28:12	;3.96
124.700;RIGHT;06:28:23;06:28:26	;2.62
124.700;RIGHT;06:28:29;06:28:33	;3.18
124.700;RIGHT;06:28:38;06:28:41	;2.41
124.700;RIGHT;06:28:45;06:28:47	;2.26
124.700;RIGHT;06:28:55;06:28:59	;3.22
124.700;RIGHT;06:29:05;06:29:07	;2.92
124.700;RIGHT;06:29:13;06:29:15	;2.20
124.700;RIGHT;06:29:26;06:29:28	;2.09
124.700;RIGHT;06:29:30;06:29:33	;2.70
124.700;RIGHT;06:29:36;06:29:38	;2.52
124.700;RIGHT;06:29:47;06:29:50	;3.06
124.700;RIGHT;06:29:55;06:29:58	;3.14
124.700;RIGHT;06:30:03;06:30:03	;0.54
